Year,Month,Day,Open,Close,Volume,Range,Close_T1,Close_T2,Close_T3,Return,MovAverage,MovVol
2011,1,28,49.167141,48.014286,148014300,1.552857,49.029999,49.121429,48.771427,-0.020716154,0.001462582,0.002003607
2011,1,31,47.971428,48.474285,94311700,0.820004,48.014286,49.029999,49.121429,0.009580461,0.001923274,0.001969394
2011,2,1,48.757141,49.290001,106658300,0.667141,48.474285,48.014286,49.029999,0.016827809,0.001850129,0.001908627
2011,2,2,49.207142,49.188572,64738800,0.242859,49.290001,48.474285,48.014286,-0.002057801,0.002054957,0.001843097
2011,2,3,49.114285,49.062859,98449400,0.812858,49.188572,49.290001,48.474285,-0.002555736,0.002211218,0.001778627
2011,2,4,49.091427,49.5,80460100,0.455715,49.062859,49.188572,49.290001,0.008909815,0.001719163,0.001697126
2011,2,7,49.69857,50.26857,121255400,0.80143,49.5,49.062859,49.188572,0.015526667,0.001348489,0.001614113
2011,2,8,50.525715,50.742859,95260200,0.481426,50.26857,49.5,49.062859,0.0094351,0.000168751,0.001542272
2011,2,9,50.741428,51.165714,120686300,0.59,50.742859,50.26857,49.5,0.008333291,-0.001064126,0.001516466
2011,2,10,51.055714,50.648571,232137500,1.714283,51.165714,50.742859,50.26857,-0.010107218,-0.000730185,0.001516318
2011,2,11,50.67857,50.978573,91893200,0.608571,50.648571,51.165714,50.742859,0.006515524,-3.64911E-05,0.001545957
2011,2,14,50.970001,51.311428,77604100,0.395714,50.978573,50.648571,51.165714,0.006529312,-0.001441741,0.001542157
2011,2,15,51.312859,51.414288,71043700,0.345715,51.311428,50.978573,50.648571,0.002004622,-0.003878373,0.00154389
2011,2,16,51.542858,51.875713,120289400,0.628571,51.414288,51.311428,50.978573,0.008974645,-0.003305743,0.001500004
2011,2,17,51.035713,51.185715,132645800,0.535717,51.875713,51.414288,51.311428,-0.013300983,-0.004298036,0.001430508
2011,2,18,51.244286,50.080002,204014300,1.425716,51.185715,51.875713,51.414288,-0.021601984,-0.002421869,0.001274724
2011,2,22,48.878571,48.372856,218138900,1.097141,50.080002,51.185715,51.875713,-0.034088377,-0.001126545,0.001243633
2011,2,23,48.395714,48.945713,167963600,0.861431,48.372856,50.080002,51.185715,0.01184253,0.000216187,0.001265434
2011,2,24,49.145714,48.982857,124975200,0.968574,48.945713,48.372856,50.080002,0.000758882,0.000463714,0.001360326
2011,2,25,49.322857,49.737144,95004700,0.518574,48.982857,48.945713,48.372856,0.015399,0.001334488,0.001399543
2011,2,28,50.177143,50.458572,100768500,0.561428,49.737144,48.982857,48.945713,0.014504814,0.000452199,0.001327553
2011,3,1,50.781429,49.901428,114034200,1.148571,50.458572,49.737144,48.982857,-0.011041613,-0.000167849,0.001310549
2011,3,2,49.994286,50.302856,150647700,0.850002,49.901428,50.458572,49.737144,0.008044419,4.18043E-05,0.001304236
2011,3,3,51.027142,51.365715,125197100,0.552856,50.302856,49.901428,50.458572,0.021129198,-0.000357654,0.001312558
2011,3,4,51.438572,51.42857,113316700,0.362858,51.365715,50.302856,49.901428,0.001223676,-0.001903519,0.001314817
2011,3,7,51.628571,50.765713,136530800,1.48,51.42857,51.365715,50.302856,-0.012888886,-0.002427533,0.001322261
2011,3,8,50.701427,50.822857,89079200,0.735714,50.765713,51.42857,51.365715,0.001125642,-0.002134782,0.001322086
2011,3,9,50.669998,50.352856,113326500,0.594288,50.822857,50.765713,51.42857,-0.009247827,-0.002307822,0.001315675
